IN,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
8397,2.702680495,6.8,0.87,0.71,-103.5,-0.313,187,44,0.99784,3.27,-0.2,9.5,-1,2.079441542,2
8399,1.402274209,7.9,-0.25,0.42,-32.4,0.086,8,358,0.96662,3.78,0.36,11.4,-1,2.197224577,1
8400,2.069366093,13.9,0.67,0.31,5.4,0.052,47,150,0.9953,3.24,1.23,9.8,1,2.197224577,1
8405,2.033082354,6.6,0.5,-0.8,1.8,0.04,-90,-399,0.95463,3.25,1.66,10.7,0,1.945910149,1
8406,3.555040095,17.6,1.61,-2.89,26.7,0.015,-64,215,0.99538,4.37,2.86,14.1,1,1.945910149,2
8410,4.595947503,8.5,-0.46,0.56,69,0.377,47,169,1.00047,3.07,-0.91,13.1,1,2.197224577,3
8413,4.308698965,6.9,0.22,-0.74,-42.8,-0.348,-142,203,0.98145,3.25,0.77,8.8,0,2.079441542,3
8414,0.838747701,12,1.48,0.44,32.8,0.069,32,73,0.95281,4.19,0.57,5.9,-1,2.302585093,1
8416,5.555290999,12.1,-0.18,1.36,28.2,-0.431,533,-227,1.03358,3.51,0.52,8.4,1,2.302585093,4
8426,1.683798419,7.3,0.24,-1.12,-57,0.287,487,-323,0.96838,2.24,-0.07,19.3,-1,2.079441542,1
8434,3.878804766,0.4,0.41,1.01,5.4,-0.414,33,115,0.98297,3.12,1.77,12.09333333,1,1.945910149,2
8439,6.157728553,17.1,1.22,0.3,43.4,0.049,38,311,0.9963,3.19,0.2,2.7,2,2.079441542,4
8440,3.449572667,6.7,0.64,0.23,2.1,0.08,215,393,0.99538,2.43,0.93,8.1,-2,2.079441542,3
8475,4.658133757,6.1,-0.53,0.34,65.6,-0.594,31,188,0.99365,3.32,2.23,5.05,0,1.945910149,3
8480,4.921506103,6.1,0.17,-1.28,1.5,0.036,38,-31,1.00044,3.29,2.59,14.6,1,1.945910149,3
8497,1.215318066,7.8,1.09,0.26,8.9,0.132,42,-241,0.996,4.01,0.67,6.1,-1,2.079441542,1
8499,5.483861622,30.6,1.6,-0.94,8.1,0.521,-143,536,0.9775,2.19,0.3,10.3,1,2.197224577,4
8500,2.703964494,16,0.29,0.24,14.3,-0.164,-169,43,0.98942,1.65,-0.16,9.8,1,1.945910149,1
8501,2.845830928,-2.3,-1.29,0.3,12.8,-0.289,-102.5,137,0.9986,4.09,0.49,9.1,-1,2.079441542,2
8502,2.144368317,31.5,0.74,0.01,1.5,0.481,50,-243,0.9917,3.13,0.69,5.1,-1,2.197224577,2
8518,4.283833169,3.6,0.31,1.71,2.1,0.176,35,534,0.99642,3.87,0.44,9.1,2,1.945910149,2
8520,3.620116013,6.5,-0.76,-0.08,27.9,0.041,264,-42,1.00837,4.19,-3.07,10.5,0,1.945910149,2
8523,3.764051171,6.1,0.73,0.32,86.7,0.034,24,-188,0.9898,3.36,-1.2,11.8,1,1.945910149,2
8525,3.527428192,6.4,0.72,0.26,3.4,0.639,-363,146,0.9794,3.18,0.7,22.2,-2,1.945910149,3
8532,1.887556155,-1.2,0.5,0.33,68.3,0.037,32,-221,0.9951,3.39,-0.96,10.7,0,2.079441542,1
8535,1.49065204,19.2,0.33,0.56,2.8,0.44,6,17,0.9964,3.35,-0.8,16.9,0,2.302585093,1
8543,2.250745922,4.7,0.7,2.65,-47.9,0.056,56,502,0.98976,3.17,0.44,8.8,0,1.945910149,1
8554,3.435123953,7.9,0.29,-0.41,6.7,0.036,97,117,0.96108,3.12,0.42,16.2,1,2.197224577,2
8560,6.003607391,6,0.2,0.26,6.8,0.626,-133,93,0.94829,2.17,0.42,14.8,0,1.791759469,4
8561,5.339775767,-3.4,0.32,0.35,31.3,-0.551,-78,421,0.9912,3.36,1.22,6.1,-1,1.945910149,4
8563,1.446922876,5.2,1.51,-0.68,5.8,0.52,9,74,1.01646,3.28,0.53,7.2,-1,1.945910149,1
8566,1.845823145,7.2,0.26,-0.29,-27.4,0.404,-15,114,0.9966,3.23,0.9,10.5,0,2.079441542,1
8570,3.517283323,6.2,-0.41,0.25,44.1,0.301,114,105,0.9912,2.08,-0.11,11.1,0,1.945910149,2
8572,4.0349757,5.5,0.82,0.32,5.8,0.051,20,100,0.9959,3.17,0.49,11.2,-1,1.945910149,3
8582,0.566833628,14.7,1.15,0.63,2.3,-0.329,295,435,1.0004,3.16,2.02,9.5,-1,2.564949357,1
8583,2.048532018,4.4,-0.31,0.21,1,-0.161,67,313,1.02571,3.14,-2.55,11.8,-1,1.945910149,1
8587,4.547693182,5.9,3.15,0.05,-57.1,0.054,36,414,1.02885,3.43,-0.83,9.2,0,1.791759469,3
8592,1.054239543,0.6,1.48,1.69,-2.4,-0.054,90,-287,1.02604,4.2,-1.03,11.9,-1,2.197224577,1
8593,4.986285754,5.9,0.33,0.32,8.1,0.202,9,34,0.95922,4.27,0.36,16.6,1,1.945910149,3
8607,2.620932195,8.9,0.49,0.02,2.7,-0.389,-70,34,0.94611,4.34,1.89,9.2,-1,2.079441542,2
8609,3.832469513,-2.3,0.45,0.32,29.7,0.031,28,185,0.95886,3.31,0.61,9.4,1,1.945910149,2
8610,2.873132649,8,-0.28,1.04,2.3,0.042,-105,208,1.0276,3.29,1.23,12,0,2.197224577,2
8614,3.667700779,5.6,1.24,0.5,44.7,0.029,25,93,0.9753,2.57,0.59,15.6,0,1.791759469,2
8616,5.328215821,7.9,0.16,0.41,66,0.297,119,140,1.03619,4.1,1.64,12.5,0,2.079441542,4
8622,5.039597434,7.1,1.14,-0.5,1.5,-0.323,26,384,1.02196,3.3,-0.85,10.8,-1,2.079441542,4
8623,3.759802729,5.9,0.73,0,7.4,0.077,550,44,0.99385,3.5,0.53,11.2,0,1.791759469,2
8624,1.76350033,0.4,-0.25,0.28,70.1,0.31,86,213,0.9962,3.16,2.22,9.9,-1,1.945910149,1
8633,6.125752389,6.9,0.47,0.3,9.6,0.237,50,185,0.99389,3.39,-0.61,9.6,1,1.945910149,4
8641,5.410819079,-0.6,-2.48,0.33,-68,0.266,-53,54,0.99057,3.56,0.45,10.9,2,2.079441542,3
8644,5.920376235,7,0.28,-1.24,-49.5,-0.248,-35,179,0.99132,2.94,0.52,9,1,2.079441542,4
8649,3.481070407,6.5,0.4,0.37,8.9,0.053,36,148,1.03079,3.17,0.64,9.3,1,2.079441542,2
8653,2.259520626,6.9,0.19,0.39,98.5,0.028,144,84,0.994,3.11,0.66,10.8,0,1.945910149,1
8657,5.560201557,5.6,0.26,1.35,1,0.032,27,96,0.94747,3.18,0.44,18.3,2,1.945910149,3
8658,1.957216437,18.3,0.4,0.02,8.9,0.053,-165,148,0.95722,3.16,-0.14,11.5,0,2.079441542,1
8663,2.809684776,-2.4,1.83,1.93,8.9,0.043,31,-57,0.9964,3.22,1.66,9.2,0,2.079441542,2
8672,1.077684364,9.7,-0.79,0.17,-24.2,0.049,-206,-20,1.00588,1.84,2.9,13.6,-1,2.302585093,1
8680,0.987241275,10,-0.53,0.42,30.4,0.056,-203,393,0.9968,3.11,1.21,15.1,-1,2.397895273,1
8684,1.854747053,9.2,0.34,-0.89,25,0.256,147,168,0.99825,3.39,2.03,8.7,0,2.079441542,1
8687,4.429257604,6.2,0.94,0.95,1.6,-0.02,-136,92,1.02503,2.04,0.5,10.5,0,1.945910149,3
8688,3.726587746,10.7,-2.35,0.66,41,0.046,26,164,0.9979,4.04,-1.11,8.8,0,1.945910149,2
8690,3.360246931,6.6,0.22,0.58,-105.9,0.133,52,136,0.98791,3.23,0.3,7.5,0,1.945910149,2
8712,2.510216846,21.5,0.39,-0.78,2.3,0.235,6,427,1.04575,3.16,0.49,9.5,1,2.564949357,2
8717,2.569870385,6.1,0.2,0.34,50.3,0.004,-173,201,0.995,3.35,1.93,10.1,1,1.945910149,1
8730,4.704366858,7.3,0.205,0.31,1.7,-0.344,34,110,1.09323,2.7,0.69,11,1,2.079441542,3
8739,3.052394884,7.2,0.2,0.22,1.6,0.531,-205,101,1.04108,2.26,-1.18,15.2,0,2.079441542,2
8744,3.620136071,-2.4,0.975,0.33,9.2,0.058,-151,5,0.99833,2.42,1.77,9.9,1,1.945910149,2
8747,5.115135912,6.4,0.18,0.74,11.9,0.046,283,168,0.97995,4.19,0.03,14.3,1,1.945910149,3
8748,4.53705393,14,-0.6,0.35,11.6,0.048,44,-147,0.9944,3.29,1.95,10.5,0,1.945910149,3
8751,2.775545372,7.4,0.19,-0.35,12.8,0.053,522.5,436,0.98614,3.14,1.76,2.5,-1,2.079441542,2
8758,2.886571644,-1.7,1.78,0.49,46.4,0.031,-173,99,1.03802,3.18,-0.64,13.6,0,2.079441542,2
8761,1.837494929,6,-0.8,0.15,0.9,0.033,9,-150,0.96962,3.24,2.01,12.1,-1,1.945910149,1
8763,4.007343961,6.5,0.46,0.24,49.6,-0.678,56,104,1.0217,3.08,-0.73,14.5,1,1.945910149,2
8764,3.664392239,7.1,-1.91,0.04,14.4,-0.783,205,437,0.9986,3.24,2.15,15.2,0,2.079441542,2
8765,5.372650663,-0.2,0.36,-0.97,52.05,0.342,-37,96,0.91548,4.18,0.62,11,2,1.945910149,3
8773,5.421503273,11.8,1.04,0.36,106.4,0.047,28,156,0.991,3.62,-0.62,14.8,0,2.079441542,4
8780,1.959444393,1.9,1.03,0.47,8.4,0.042,167,156,0.98555,3.15,0.93,16,0,2.079441542,1
8781,2.615891827,1,1.61,0.33,-25.8,-0.29,71,162,0.9914,3.07,0.19,11,-1,2.079441542,2
8782,3.294354667,6,1.63,-0.08,-43.9,0.063,533,134,1.01145,2.63,0.57,4.9,0,1.945910149,2
8785,1.780915759,12.4,1.88,0.58,22,0.103,28,45,1.0008,4.1,1.16,6.9,0,2.564949357,2
8786,1.780520872,9.4,1.21,3.16,2,0.23,25,48,0.98564,3.57,-0.49,9.7,1,2.302585093,1
8797,1.496442346,0.9,1.38,1.37,70.3,-1.01,-194,133,0.9978,3.17,0.36,8.7,-1,2.079441542,1
8799,4.458039022,-4.6,1.13,0.35,63.1,-0.399,29,198,0.9984,3.24,0.5,3.8,0,1.945910149,3
8807,1.147050822,6.3,0.775,2.55,-12.8,-0.283,-174,86,0.9959,3.23,-0.17,3.6,-1,2.197224577,1
8816,2.730397095,8,1.98,-3.02,4,0.476,-9.5,554,0.9905,1.79,1.36,14,0,2.197224577,2
8817,3.839103982,7.1,-0.48,0.31,70,0.053,0,78,0.99587,3.31,0.59,5.1,-1,2.079441542,3
8826,5.12549773,6.7,0.06,-1.24,-30.1,0.003,-144,399,0.96157,3.12,-0.74,11.2,1,1.945910149,3
8833,2.393325571,-7.7,-0.9,0.33,1,0.054,158,164,1.01251,3.62,0.51,11.9,0,1.945910149,1
8834,2.533740989,6,0.26,0.54,1.3,-0.541,-55,154,0.99354,3.88,0.51,4.2,0,1.791759469,1
8835,1.56953661,9.4,-0.56,0.41,99.6,0.045,68,183,0.99922,4.4,0.67,9.4,-1,2.079441542,1
8840,4.92718119,6.7,0.75,1.69,14.8,0.186,44,436,0.99676,3.2,1.44,9.8,1,1.945910149,3
8843,2.468409833,0.5,0.36,0.11,14.3,0.134,55,349,0.9979,1.53,0.44,9,1,2.079441542,1
8849,2.917412997,-3.6,0.17,0.04,-43.8,0.037,-105,133,0.9931,2.3,1.73,10.8,-1,1.945910149,2
8855,2.552985523,6,0.28,0.55,5,0.078,-217,139,1.04191,3.1,-0.34,9.5,1,1.945910149,1
8861,1.450059206,6.4,0.31,1.19,6.9,0.335,-84,187,0.9937,2.99,0.34,12.2,0,2.302585093,1
8862,3.838386788,9.3,0.38,-0.48,3.8,0.132,3,11,0.99577,0.92,0.57,10.1,0,2.302585093,3
8865,3.527356705,1.6,1.5,0.41,14.2,0.361,197,102,0.99678,2.26,0.5,10.3,-2,1.945910149,3
8868,5.65634016,6.5,0.19,0.56,0.8,0.043,-168,205,0.9936,4.07,0.39,11.2,0,1.945910149,4
8870,3.616276177,14,0.51,1.34,1.2,0.04,-70,455,0.96761,3.05,0.29,10.8,1,2.079441542,2
8880,3.694399256,-2,0.2,0.25,15,0.656,5,259,0.95286,3.12,0.53,2.8,1,1.945910149,2
8885,4.469717025,8.2,0.67,0,1.9,0.08,-185,443,0.95562,3.4,0.32,4.2,0,1.945910149,3
8894,3.745706493,15.6,-0.57,0.34,-0.2,0.054,466,606,0.96931,3.42,0.58,10.4,0,1.945910149,2
8895,4.95031626,1.9,-0.68,0.31,61.5,0.038,8,79,0.97564,4.12,0.39,10.5,0,1.791759469,3
8899,4.875419327,6.8,0.15,-1.09,12.9,-0.378,68.5,486,0.97015,2.95,-0.35,16.3,0,1.945910149,3
8912,2.382897995,6.4,-0.56,0.44,-12.5,0.482,49,179,0.90939,3.26,-0.79,9.2,0,1.945910149,1
8922,1.877081829,7,-0.79,1.57,-44.2,0.394,46,89,0.98393,3.39,-0.2,10.7,-1,1.945910149,1
8924,3.245385685,17.7,-0.31,0.8,-2.6,0.039,13,770,0.9731,2.02,0.49,10.9,-1,1.945910149,2
8928,3.74248977,5.2,-0.97,1.13,16.2,0.027,158,117,0.98886,6.04,0.45,6.7,0,1.791759469,2
8932,4.473931339,12.8,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,1,2.197224577,3
8943,5.346142968,-16.7,0.27,0.21,50.9,0.046,20,155,0.99856,3.04,0.41,14.1,1,1.791759469,3
8945,6.114060892,5.6,-0.31,0.31,-53.8,0.058,-210,-216,0.99092,3.41,-0.97,10.5,1,1.945910149,4
8946,3.929960402,5.9,0.56,1.08,2,0.03,38,98,0.98892,3.46,-0.9,19.3,1,1.945910149,2
8954,1.196348607,11.2,0.32,0.56,2,0.073,3,-159,0.99534,3.15,0.73,9.5,0,2.397895273,1
8958,3.591195983,3.7,1.46,-0.71,11.4,-0.316,-8,93,0.99428,3.23,0.62,10.5,0,1.791759469,2
8960,2.626287209,11.8,0.32,0.21,2.2,1.123,-118,-475,0.96779,3.17,-1.36,9.4,-1,1.945910149,2
8965,0.89855449,-9.3,0.5,0.81,2.2,0.057,5,136,1.0002,3.19,0.44,8.3,0,2.564949357,1
8966,3.813344031,2.9,0.26,0.39,-30.8,0.364,64,200,0.99562,3.19,0.38,12.5,1,1.945910149,2
8967,1.404573326,-0.3,0.43,0.99,4.5,-0.005,-41,-86,1.04293,3.78,-0.99,10.2,-1,2.079441542,1
8969,2.976529502,6.4,0.46,0.79,-19.7,0.047,51,138,0.998275,3.39,-1.09,10.5,-1,1.945910149,2
8980,4.288557757,-3.4,0.25,1.61,13.1,0.59,312,200,1.08608,3.04,-3.05,8.9,0,2.079441542,3
8984,3.983775091,14.8,0.12,-0.65,7.1,0.001,-28,124,0.9888,4.08,0.41,7.4,0,2.197224577,3
8985,2.086482183,-2.3,0.31,0.85,13.2,0.194,267,406,0.96434,2.98,-0.65,6.1,0,2.079441542,1
8988,1.945485419,14.3,0.9,0.37,77.5,0.112,16,89,1.02538,4.66,0.95,5.3,0,1.945910149,1
8989,3.898616625,6.1,0.22,0.28,16.55,-0.153,54,135,1.00226,3.2,0.38,12.9,1,1.945910149,2
8995,4.326527476,6.9,-0.28,0.74,1,0.621,18,204,0.992,1.94,-0.32,10.2,0,2.079441542,3
9004,2.227207424,20,0.31,1.32,-46.9,-0.359,28,137,0.98089,2.96,1.26,11,1,2.197224577,1
9010,1.321181857,9.9,0.87,0.24,2.3,-0.481,6,14,0.96571,3.34,1.61,14,0,2.397895273,1
9012,1.736332355,-2,1.74,-1.87,1.6,0.409,161,147,0.99592,2.77,0.14,8.1,0,2.079441542,1
9018,2.983093632,2.8,0.2,0.31,6.85,0.577,160,-56,1.038,2.59,0.59,10.4,0,2.079441542,2
9036,0.581082523,8.8,0.48,1.92,3.3,0.092,26,-171,0.9982,3.31,0.14,16.1,-2,2.302585093,1
9037,1.231168512,8.3,0.88,2.93,24.5,0.033,37,57,0.95699,3.16,0.51,11,-1,2.197224577,1
9040,5.348291957,5.8,0.28,0.3,-30.3,-0.286,31,114,0.98636,4.27,0.43,12.5,1,1.791759469,3
9041,4.578607541,6.5,-0.93,-1.16,4.1,-0.427,20,134,0.95719,3.18,-0.86,9,2,1.945910149,2
9044,5.898316338,13.4,0.3,0.33,2.7,0.044,34,108,1.01369,3.86,0.18,16.4,1,2.079441542,4
9045,2.417296658,11.9,-0.46,0.34,1.6,-0.345,-61,270,0.94198,3.34,0.78,8.5,0,1.945910149,1
9047,1.548450495,8.1,1.47,0.79,-21.6,-0.225,114,205,1.07729,3.36,0.88,11,0,2.197224577,1
9049,1.990556007,6.6,0.5,0.04,2.1,0.063,6,-560,0.9955,3.39,0.64,9.4,0,1.945910149,1
9061,2.406205145,-2.2,-1.25,1.28,38.4,0.44,-171,409,0.99168,2.62,-1.14,8.2,0,1.945910149,1
9062,1.865888829,7.3,0.25,-0.38,25.3,-0.394,38,-212,1.02761,3.4,1.57,9.6,0,2.079441542,1
9076,3.206523536,7.4,0.29,0.4,-30.6,-0.327,-201,352,0.9932,2.57,0.76,12.3,0,2.079441542,2
9079,1.947690125,-2.7,0.9,-0.88,27.1,0.52,-26,28,0.98647,3.13,-0.92,10.6,-1,1.791759469,1
9081,3.66993018,6.5,-0.705,1.15,-11.1,0.041,88,126,0.99494,2.97,-0.17,20.3,0,1.945910149,2
9082,3.414359597,11.2,2.48,0.41,28.5,0.47,44,139,0.9956,3.09,0.37,5.5,1,1.945910149,2
9089,0.93507543,4,0.25,0.7,-31.5,-0.004,165,-188,1.03785,3.13,0.22,4.7,-1,2.302585093,1
9092,2.66561027,7.5,0.19,-1.23,7.1,0.056,50,110,1.00316,3.06,0.71,9.9,-1,2.079441542,2
9094,5.016989237,6.5,0.28,0.26,37.6,-0.254,44,139,1.01808,3.32,0.41,10.2,1,1.945910149,3
9115,4.079929082,7.1,0.34,1.02,115,0.082,31,68,0.99694,3.45,3.46,6.8,0,2.079441542,3
9117,4.040898926,8.2,3.32,0.21,57.7,0.593,-100,131,0.9902,3.26,0.55,13,0,1.945910149,3
9118,2.494021338,6.1,-1.04,-1.33,2.5,0.186,131,218.5,0.9935,3.46,-0.94,13.9,0,1.945910149,1
9120,4.169735516,6.1,-1.17,0.49,7.6,0.511,77,39,0.96665,4.08,0.47,8.9,-1,1.945910149,3
9124,1.790301611,7.3,1.44,0.43,1.7,0.057,21,123,0.9905,3.19,0.42,9.4,0,2.079441542,1
9128,2.195638657,7.7,0.14,-0.74,60,0.067,-64,213,0.97139,3.18,2.05,9.2,-2,2.079441542,2
9135,1.92612247,2.3,1.19,0.08,47.2,-0.251,152,32,0.96779,4.36,1.06,15.8,0,2.079441542,1
9136,1.886925461,23.8,0.35,0.44,6.5,0.056,31,6,1.00954,3.25,1.33,12.9,0,2.079441542,1
9138,4.186130953,5.8,1.59,0.34,9.7,0.035,26,453,0.99716,3.08,0.49,10.4,0,2.079441542,3
9157,4.352147704,6.7,0.21,0.36,-91.85,0.02,59,-221,1.02888,3.5,0.36,2.9,0,1.945910149,3
9176,3.379143224,9,0.15,0.3,5.3,0.765,-10,127,0.9942,2.51,-0.58,16.3,0,1.945910149,2
9183,2.195091037,0.6,0.32,-1.47,17.75,0.06,207,190,1.03215,1.68,1.16,3.5,0,1.945910149,1
9187,2.432727452,9.2,-0.37,-1.15,7.6,0.08,54,184,0.99572,2.05,-1.33,10.8,0,1.945910149,1
9188,1.516390623,7.5,0.18,0.99,-24.8,0.543,24,400,0.97367,3.19,0.08,9.5,-1,2.079441542,1
9190,4.517522014,6.5,0.29,0.05,3,0.273,70,93,0.9906,3.83,3.55,23.7,0,1.945910149,3
9197,3.678486022,15.6,0.3,0.5,1.1,0.036,174,-153,0.94973,4.33,0.6,11.3,0,1.791759469,2
9200,3.857200863,7.3,0.19,0.27,13.9,0.057,45,155,0.94555,2.94,1.67,8.8,-1,2.079441542,3
9201,4.547988336,17.1,0.7,0.34,46.4,0.468,299,161,0.90042,3.32,0.62,6.9,0,1.945910149,3
9203,3.373523209,0.5,0.23,-0.97,1.3,-0.112,14,-98,0.99276,4.62,0.37,16.1,0,1.945910149,2
9212,3.149914969,-1.8,0.38,0.29,50.5,0.039,25,293,0.96596,3.25,0.59,9.3,0,2.079441542,2
9213,4.028120187,5.8,0.3,0.42,1.1,0.036,-527,113,0.98871,3.48,0.46,18.7,-1,1.945910149,3
9214,4.931660528,5.7,0.8,2.09,51.8,-0.432,49,-107,0.9394,3.26,0.25,13.1,0,1.791759469,3
9217,2.176453682,4.5,0.46,-0.61,58.2,0.343,-120,52,0.99869,3.11,1.81,9,1,2.079441542,1
9219,2.828235943,29.2,0.31,0.09,13.6,-0.449,513,321,0.99459,3.73,-0.18,0.4,1,1.945910149,1
9220,4.764993962,15.1,0.695,0.06,-22.8,0.076,144,20,0.89547,2.17,0.54,6.6,1,2.079441542,3
9221,6.062956574,-3.9,-0.71,0.28,12.4,0.62,-113,-182,1.02018,3.16,0.51,14.8,1,1.945910149,4
9237,4.086787724,6.5,0.14,0.25,24.7,0.336,15,262,0.95255,1.96,0.43,4.7,0,1.609437912,2
9240,3.49809215,16.5,0.24,0.34,21.4,-0.316,3,-312,1.00499,2.4,1.72,11.4,1,2.079441542,2
9241,1.48287815,2.9,-0.77,0.33,10.2,0.048,194,141,0.95288,3.16,-0.72,4.7,-1,2.197224577,1
9248,3.149630432,6.4,-1.13,0.26,8.2,0.795,47,596,0.99465,3.17,0.5,15.4,-1,1.945910149,2
9253,6.472980845,2.3,0.2,-0.85,58.5,-0.344,32,-22,0.97793,1.25,0.46,11.5,2,2.079441542,4
9259,3.712186007,7.2,-1.19,-0.94,75.05,0.038,71,130,1.0228,2.97,0.47,9,1,2.079441542,2
9267,4.036813821,17.6,1.995,0.27,65.05,-0.463,92,70,0.98994,4.08,0.47,14.65,1,1.791759469,2
9271,1.837827591,7.2,0.58,0.5,8.4,0.077,-169,28,0.98495,4.01,-0.87,9.4,0,2.079441542,1
9273,1.143997676,13.4,2.6,-0.82,-29.8,-0.033,46,73,1.03177,2.34,0.34,3.6,-1,2.079441542,1
9285,6.054885346,6.6,1.52,-0.34,1.8,0.042,26,38,0.97936,3.19,-1.88,9.2,1,1.945910149,4
9290,3.362984092,5.1,2.04,-0.65,10.2,0.559,18,281,0.99132,4.13,0.81,11,0,1.791759469,2
9291,2.604975662,10.3,-0.3,1.8,1.4,-0.305,5,33,0.95662,3.95,0.39,11.6,0,2.397895273,2
9293,4.106896513,17.4,0.49,0.69,6.65,0.034,244,158,0.99344,2.77,0.48,11.2,0,2.197224577,3
9294,3.361250382,1,-0.52,0.39,28.2,-0.266,241,461,0.99755,2.9,0.46,4.8,0,2.079441542,2
9301,3.134913646,10.6,0.17,0.28,1.2,0.046,-135,574,0.91206,3.33,-0.52,10.1,-1,1.945910149,2
9302,4.062974988,8.6,0.2,0.42,-47.8,-0.073,35,50,0.9925,2.98,0.49,10.6,0,2.197224577,3
9312,1.604711605,8,-0.39,0.43,12.8,0.067,-160,-225,1.00826,3.38,1.56,11.9,0,2.197224577,1
9316,3.232733851,-3,0.92,-0.92,-50.8,-0.023,-185,-124,0.99362,3.03,-0.53,10.15,0,1.945910149,2
9319,4.587996092,2.4,1.06,-0.93,9.3,0.041,70,189,1.00788,3.57,0.49,8.6,1,2.079441542,3
9328,4.431226318,8.6,0.48,0.5,14.5,0.361,-97,-170,0.9983,4.22,1.1,9.1,1,2.079441542,3
9331,2.909324161,9.3,0.775,0.43,28.4,0.045,24,56,0.9984,3.31,2.26,7.8,1,2.302585093,2
9338,3.044947635,21.8,-0.59,-1.05,3.5,0.094,9,-186,1.02322,3.29,0.53,-0.7,-1,2.397895273,3
9350,2.13243851,12.1,1.16,0.25,7.8,0.05,13,68,0.94833,2.91,0.4,8.6,0,1.945910149,1
9356,3.208405679,16.1,1.26,-0.58,33.8,-0.218,325,-273,0.9966,3.83,1.92,9.5,0,1.945910149,2
9359,1.174612638,-10.8,0.65,0.1,2.9,-0.378,17,263,1.0879,3.88,0.55,7.9,-1,2.197224577,1
9362,2.735123062,-0.9,0.49,1.2,63.7,0.176,232,338,0.95317,3.24,0.68,9,1,1.945910149,1
9364,2.165229722,7.2,-0.76,-0.63,67.9,0.043,226,-35,0.94627,3.09,1.93,15.8,0,2.079441542,1
9370,2.631090024,-0.1,-0.82,0.07,-126.2,0.041,-21,-234,0.94818,3.14,1.46,3.1,1,1.945910149,1
9380,4.585196211,18.8,1.5,-0.75,4.6,0.45,-89,-143,0.98559,4.06,1.95,10.6,-1,2.079441542,4
9386,4.141085149,5.9,-1.12,0.6,2,0.407,-197,92,0.97146,3.39,0.94,8.3,1,1.791759469,2
9394,3.283575689,-4.1,0.24,0.29,2,-0.181,15,346,1.0402,3.23,2.99,5.9,0,1.945910149,2
9407,3.387700487,-3,0.26,0.28,74.4,0.028,13,-107,0.96529,3.09,0.34,12.1,0,1.945910149,2
9411,2.433945078,7.2,-2.03,0.63,11,-0.295,529,-262,0.9974,3.09,-0.76,12.5,0,2.079441542,1
9422,3.148183075,1.2,-0.42,0.21,-35.9,-0.236,8,62,0.997,3,0.58,2.8,0,2.079441542,2
9423,3.933519027,17.5,1.695,-1.18,-7.4,0.073,569,60,1.04261,4.18,0.98,15.2,0,2.197224577,3
9429,3.29229073,7.4,-0.42,-0.44,-10.6,0.312,151,415,0.99907,2.92,0.68,14.1,0,2.079441542,2
9433,2.362786425,8.4,0.2,-1,9.3,0.332,-85,31,0.99416,3.36,0.45,13.7,-1,2.197224577,2
9439,3.07861388,2.4,0.915,0,53.6,0.435,17,-179,1.04083,3.68,0.73,11.4,0,1.945910149,2
9451,4.274502503,7.1,0.16,0.67,15,0.045,49,155,0.97712,2.78,1.63,8.7,0,2.079441542,3
9452,2.521737208,8.8,1.19,-1.1,1.9,0.069,36,372,0.99387,3.38,4.18,16.4,1,1.945910149,1
9453,1.988215087,7.8,0.24,-0.29,48.5,0.037,274,480,0.9932,3.08,-0.17,11.6,-1,1.945910149,1
9460,4.709226576,5.7,1.68,0.62,7.5,0.038,-44,49,0.98596,1.02,-1.79,13.4,1,2.079441542,3
9465,4.292372648,-4.3,-0.34,0.38,70.1,0.126,49,940,0.99195,3.35,0.57,14.8,2,2.079441542,2
9470,4.498104771,6.6,0.16,0.32,1.4,0.2,235,-159,0.9906,4.27,0.64,12.4,0,1.945910149,3
9476,3.387731044,-5.8,0.32,0.28,-20.5,-0.528,29,-640,0.99864,2.06,0.36,13.55,0,1.945910149,2
9485,3.133774906,7.4,0.04,0.3,-14.9,0.056,33,167,1.00794,2.14,2.03,11.6,0,2.079441542,2
9486,1.572124297,4.9,1.33,-1.48,-31.9,0.045,12,144,1.02162,4.69,0.82,12.9,-1,1.945910149,1
9488,2.155412846,6.7,1.08,0.28,2.4,-0.299,-56,513,1.01516,3.26,0.39,3.8,0,1.945910149,1
9507,5.953126252,10.9,1.72,0.57,42.9,-0.06,15,-193,0.9924,2.97,0.72,14.8,1,1.945910149,4
9508,5.088268086,5.9,0.57,-0.48,1.4,0.397,17,47,1.02589,3.35,0.35,9.1,-1,1.945910149,4
9517,6.686377357,6,0.24,0.28,-23.95,0.038,61,134,0.97612,3.3,-1.2,11.2,2,1.945910149,4
9521,4.619670918,15.6,-2.19,-0.98,48.1,-0.132,51,101,0.99544,2.76,0.58,10.4,2,1.945910149,2
9528,3.037350151,7,0.1,0.41,3.5,-0.463,17,-112,0.98988,2.79,0.52,11.4,-1,1.945910149,2
9532,2.379374896,6.4,-0.32,0.51,35.5,0.175,53,388,0.97075,2.66,0.45,9.6,0,1.945910149,1
9536,2.46594223,-0.3,1.43,-0.95,10.4,0.379,47,194,0.99471,3.26,0.58,9.6,-1,2.079441542,2
